id_of_tweet;tokens
1132402733045100544;['chopanzee', 'freedom3wwgiwga', 'yes', 'greer', 'driver', 'secret', 'service', 'entire', 'secret', 'service', 'plot', 'https', 'co', 'zk6evgbqgh', 'rt', 'chopanzee', 'freedom3wwgiwga', 'jfk', 'shot', 'his', 'driver', 'https', 'co', 'hjvxl6jnkd', 'rt', 'drsawbones', 'sdmsnews', 'thejusticedept', 'fbijackson', 'justice', 'c', 'mississippi', 'compounding', 'pharmacy', 'mogul', 'sentenced', 'mm', 'health', 'car', 'rt', 'pittsportmomma', 'truly', 'most', 'accurate', 'thing', 've', 'read', 'long', 'time', 'please', 'share', 'far', 'wide', 'maybe', 'someone', 'needs', 'rt', 'zibalady1', 'witnessing', 'called', 'political', 'violence', 'totalitarianism', 'works', 'controll', 'amp', 'silencing', 'rt', 'hizbkkhan', 'house', 'meets', 'tomorrow', 'predicted', 'pass', '25th', 'amendment', 'resolution', 'via', 'roll', 'call', 'vote', 'presid', 'rt', 'zibalady1', 'watch', 'look', 'like', 'storming', 'capitolbuilding', 'it', 'looks', 'like', 'planned', 'amp', 'staged', 'video', 'capitolrio', 'rt', 'brianquinn1776', 'update', 'thank', 'everyone', 'helped', 'us', 'get', 'to', 'where', 're', 'savedelta', 'please', 'donate', 'https', 'co', 'i9th', 'rt', 'hizbkkhan', 'trump', 'foreign', 'policy', 'triumphant', 'diminished', 'challenges', 'us', 'enormously', 'secured', 'us', 'interests', 'around', 'rt', 'dollarntzen', 'patriots', 'we', 'tough', 'couple', 'days', 'must', 'watch', 'video', 'vc', 'i5tactical', 'tests', 'avenger', 'series', 'stun', 'gun', 'rt', 'pittsportmomma', 'woman', 'shocked', 'last', 'week', 'nothing', 'to', 'racism', 'i', 'tired', 'racism', 'getting', 'brought', 'by', 'left', 'resistcommies', '4th', 'time', 'back', 'bahahaha', 'rt', 'pittsportmomma', 'this', 'truly', 'might', 'the', 'dumbest', 'correction', 'cnn', 'has', 'ever', 'to', 'publish', 'do', 'they', 'ever', 'stop', 'think', 'why', 'this', 'ha', 'rt', 'hizbkkhan', 'the', 'trump', 'policies', 'prevented', 'china', 'becoming', 'economic', 'superpower', 'biden', 'policy', 'provide', 'huge', 'space', 'f', 'rt', 'project_veritas', 'exposetwitter', 'exposetwitter', 'exposetwitter', 'https', 'co', '0afljdbzra', 'rt', 'kittenmule888', 'commie', 'jack', 're', 'a', 'liar', 'and', 'have', 'been', 'busted', 've', 'crossed', 'a', 'line', 'there', 'is', 'no', 'returning', 'remember', 'rt', 'hizbkkhan', 'https', 'co', 'w61ititvcn', 'joe', 'biden', 'foreign', 'policy', 'will', 'undermine', 'u', 's', 'interests', 'latest', 'article', 'in', 'elamerican_', 'rt', 'raeanon', 'ortainedevian', 'bearhunter001', 'missesj3', 'steve_q17', 'slavewar', 'maca691', 'heidi_weigand', 'hh_kathy', 'mvineyardfarmer', 'bardsfm', 'grot']
959285851875196928;['77x0x77', 'gianis_1', 'joelmarqq', 'moodav47', 'phillyfan1221', 'toniw67', '2majzoobi', 'bfes56', 'akusafvet', 'lisapurdue2', 'st22r', 'https', 'co', 'svrowm5pr6', 'rt', '77x0x77', 'gianis_1', 'joelmarqq', 'moodav47', 'phillyfan1221', 'toniw67', '2majzoobi', 'bfes56', 'akusafvet', 'lisapurdue2', 'st22r', 'engthing9', 'duffyusa', 'rt', 'donaldjtrumpjr', 'trump', 'dc', 'hotel', 'open', 'dcpd', 'strange', 'our', 'wonderful', 'amp', 'totally', 'unbiased', 'press', 'corps', 'zero', 'questions', 'pres', 'se', 'rt', 'theleoterrell', 'best', 'news', 'heard', 'day', 'will', 'campaign', 'all', 'republicans', 'backstabbed', 'president', 'trump', 'rt', 'ksorbs', 'preach', 'acceptance', 'unity', 'you', 'practicing', 'last', 'four', 'years', 'rt', 'charliekirk11', 'less', '72', 'hours', 'joe', 'biden', 'killed', '70', '000', 'jobs', 'eliminated', 'women', 'sports', 'invaded', 'syria', 'left', 'national', 'gua', 'rt', 'joshdcaplan', 'reuters', 'taiwan', 'reports', 'large', 'incursion', 'chinese', 'air', 'force', 'rt', 'christianwalk1r', 'had', 'smart', 'pretty', 'press', 'secretary', 'like', 'traded', 'something', 'louis', 'vuitton', 'walmart', 'item', 'rt', 'realmattcouch', 'god', 'help', 'us', 'white', 'house', 'announces', 'will', 'codify', 'federal', 'abortion', 'law', 'https', 't', 'co', 'mfftvppktr', 'rt', 'realmattcouch', 'you', 'voted', 'party', 'pushing', 'abortions', 'honestly', 'not', 'know', 'you', 'claim', 'be', 'christian', 'a', 'rt', 'saracarterdc', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'reverse', 'every', 'good', 'policy', 'americans', 'gained', 'trump', 'rt', 'scottbaio', 'only', 'day', '4', 'rt', 'frfrankpavone', 'most', 'racist', 'people', 'our', 'midst', 'today', 'ones', 'slap', 'word', 'racism', 'everything', 'disagree', 'rt', 'fadde', 'those', '80m', 'voted', 'biden', 'pls', 'explain', 'increasing', 'price', 'insulin', 'for', 'those', 'need', 'a', 'win', 'rt', 'atensnut', 'hydroxychloroquin', 'is', 'now', 'legal', 'since', 'it', 'no', 'longer', 'helps', 'trump', 'rt', 'raging_red', 'patriots', 've', 'mia', 'last', 'days', 'bc', 'mom', 'rushed', 'hospital', 'rough', 'shape', 'heart', 'failure', 'lung', 'c', 'rt', 'charliekirk11', 'donald', 'trump', 'wanted', 'use', 'the', 'national', 'guard', 'protect', 'cities', 'democrats', 'outraged', 'donald', 'trump', 's', 'feder', 'rt', 'emeraldrobinson', 'gov', 'gretchen', 'whitmer', 'announced', 'indoor', 'dining', 'resume', 'michigan', 'next', 'week', 'happened', 'this', 'week', 'chang', 'rt', 'watchchad', 'biden', 't', 'released', 'the', 'kids', 'cages', 'said', 'would', 'did', 'end', 'the', 'fracking', 'said', 'wouldn', 't', 'sounds', 'ri', 'rt', 'joshdcaplan', 'fox', 'news', 'alberta', 'premier', 'says', 'biden', 'disrespected', 'u', 's', 's', 'closest', 'friend', 'canceling', 'keystone', 'pipeline']
1199768132832776193;['rt', 'kk131066', 'heard', 'system', 'checks', 'amp', 'balances', 'find', 'ask', 'japanese', 'save', 'america', 'need', 'replace', 'exi', 'rt', 'kk131066', 'trump', 'worthless', 'traitortrump', 'allowed', 'destroy', 'country', 'arresttrumpnow', 'trumpisacompletefailure', 'trumpc', 'rt', 'kk131066', 'stupidpeople', 'shameless', 'otherwise', 'would', 'ashamed', 'themselves', 'arresttrumpnow', 'coupattempt', 'capitolhill', 'capi', 'rt', 'kk131066', 'failure', 'quickly', 'adapt', 'changing', 'circumstances', 'lead', 'negative', 'consequences', 's', 'difference', 'whether', 'count', 'rt', 'kk131066', 'gopseditioustraitors', 'attempt', 'distance', 'trump', 'make', 'sense', 'is', 'leader', 'capitolriots', 'happened', 'due', 'g', 'rt', 'kk131066', 'gopseditioustraitors', 'understand', 'trump', 'shouldn', 'dc', 'goptraitors', 'knew', 'amp', 'supported', 'rt', 'kk131066', 'nojusticenounity', 'nojusticenohealing', 'gopseditioustraitors', 'amp', 'trump', 'must', 'brought', 'justice', 'restore', 'ruleoflaw', 'trum', 'rt', 'kk131066', 'put', 'cart', 'horse', 'nojusticenounity', 'nojusticenohealing', 'gopseditioustraitors', 'amp', 'trump', 'must', 'face', 'justi', 'rt', 'kk131066', 'flexible', 't', 'mean', 'spineless', 'nojusticenounity', 'nojusticenohealing', 'arresttrump', 'arrestthemallnow', 'arresttrumpnow', 'tr', 'rt', 'kk131066', 'unity', 'traitors', 'cannot', 'justified', 'nojusticenounity', 'nojusticenopeace', 'nojusticenohealing', 'trump', 'amp', 'gopseditiou', 'rt', 'kk131066', 'most', 'dangerous', 'crime', 'is', 'an', 'unpunished', 'crime', 'makes', 'crime', 'acceptable', 'erodes', 'trust', 'the', 'system', 'amp', 'leads', 'rt', 'kk131066', 'your', 'willingness', 'stand', 'truth', 'fades', 'the', 'politician', 'voted', 'for', 'won', 'you', 'should', 'ask', 'you', 'love', 'p', 'rt', 'kk131066', 'everything', 'trump', 'touches', 'dies', 'trumpdeathcult', 'nojusticenopeace', 'nojusticenounity', 'nojusticenohealing', 'traitors', 'must', 'rt', 'kk131066', 'anything', 'must', 'justice', 'nojusticenounity', 'nojusticenopeace', 'traitors', 'must', 'face', 'justice', 'restore', 'ruleoflaw', 'rt', 'kk131066', 'unity', 'traitors', 'must', 'do', 'time', 'nojusticenounity', 'nojusticenopeace', 'trump', 'trumpcult', 'coup', 'coupattempt', 'capitolriot', 'rt', 'kk131066', 'unity', 'works', 'people', 'respect', 'other', 'amp', 'a', 'common', 'goal', 'know', 'racist', 'gopseditioustraitors', 'want', 'americ', 'rt', 'kk131066', 'the', 'laws', 'logic', 't', 'loopholes', 'pretending', 'there', 'problems', 't', 'make', 'problems', 'go', 'away', 'arresttrump', 'movebitcanis', 'no', 'really', 'problems', 'cannot', 'be', 'reduced', 'amp', 'jan', '6', 'a', 'reminder', 'the', 'us', 'many', 'unsolved', 'problem', 'https', 't', 'co', 'qwkh5jqquw', 'unity', 'works', 'people', 'respect', 'other', 'amp', 'a', 'common', 'goal', 'know', 'racist', 'gopseditioustraitors', 'want', 'https', 't', 'co', 'ckhgy1gs5h', 'the', 'laws', 'logic', 't', 'loopholes', 'pretending', 'there', 'no', 'problems', 't', 'make', 'problems', 'go', 'away', 'https', 't', 'co', 'rxxkmud4fx']
22663306;['rt', 'loudobbs', 'immediate', 'election', 'consequences', 'ice', 'agents', 'ordered', 'free', 'illegal', 'aliens', 'custody', 'release', 'https', 'co', 'r', 'rt', 'realdailywire', 'biden', 'stops', 'trump', 'order', 'slash', 'price', 'insulin', 'epipen', 'https', 'co', 'o0kkzwpfdt', 'https', 'co', 'jtayfn6z6g', 'rt', 'franklin_graham', 'look', 'world', 'll', 'distressed', 'look', 'within', 'you', 'll', 'depressed', 'you', 'look', 'god', 'you', 'll', 'rt', 'repandybiggsaz', 'stopping', 'border', 'wall', 'construction', 'ending', 'immigration', 'enforcement', 'policies', 'proposing', 'amnesty', 'millions', 'rt', 'fadde', 'millions', 'americans', 'without', 'healthcare', 'yet', 'let', 'focus', 'getting', 'prisoners', 'healthcare', 'first', 'exxonmobil', 'losers', 'rt', 'arifleischer', 'full', 'list', 'every', 'lie', 'joe', 'biden', 'told', 'president', 'https', 'co', 'rx5tthjgsz', 'rt', 'fogcitymidge', 'mexico', 'mad', 'canada', 'mad', 'america', 'mad', 'joe', 'biden', 'getting', 'started', 'rt', 'fadde', 'those', '80m', 'voted', 'biden', 'pls', 'explain', 'increasing', 'price', 'insulin', 'those', 'need', 'win', 'rt', 'columbiabugle', 'epic', 'rt', 'drpaulgosar', 'thunderous', 'applause', 'people', 'know', 'truth', 'https', 'co', 'i0x2mrwsuc', 'rt', 'saracarterdc', 'just', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'reverse', 'every', 'good', 'policy', 'americans', 'gained', 'trump', 'rt', 'catturd2', 'ice', 'agents', 'ordered', 'free', 'illegal', 'aliens', 'custody', 'release', 'all', 'https', 'co', 'iujkt7ouic', 'via', 'breitbartnews', 'rt', 'kamvtv', 'icymi', 'ice', 'agents', 'been', 'ordered', 'free', 'all', 'illegal', 'aliens', 'custody', 'rt', 'richardgrenell', 's', 'happening', 'gavinnewsom', 'rt', 'jackposobiec', 'people', 'voted', 'guy', 'increased', 'insulin', 'prices', 'day', 'one', 'name', 'is', 'joe', 'biden', 'rt', 'jackposobiec', 'breaking', 'new', 'mexico', 'leaders', 'say', 'biden', 'domestic', 'energy', 'bans', 'devastate', 'state', 's', 'economy', 'jobs', 'education', 'rt', 'jessekellydc', 'a', 'sick', 'way', 'm', 'rather', 'enjoying', 'the', 'oh', 'crap', 'won', 'what', 'we', 'vibe', 'biden', 'puts', 'daily', 'enjoy', 'rt', 'ryanafournier', 'report', 'dark', 'money', 'helped', 'joe', 'biden', 'win', 'the', 'white', 'house', 'unbelievable', 'https', 'co', 'rmxprzcdzl', 'rt', 'dadagudblood', 'niggas', 'got', 'played', 'https', 'co', 'iga5d6r4pc']
1049162319941517312;['n', 't', 'f', 'u', 'n']
2449913803;['recommendation', 'eliminate', 'anything', 'do', 'fox', 'including', 'fox', 'nation', 'fox', 'news', 'app', 'device', 'democrats', 'media', 'have', 'whipped', 'panic', 'virus', '6', 'deaths', 'strictly', 'due', 'covid', 'rt', 'sick_diablo', '4', 'dems', 'handcuffed', 'arrested', 'selling', 'votes', 'bribes', 'https', 'co', 'fcxdswmccs', 'rt', '125lolalola', 'ice', 'agents', 'ordered', 'free', 'illegal', 'aliens', 'custody', 'release', 'all', 'https', 'co', 'wzzipja7gu', 'via', 'breitbartnews', 'ht', 'rt', 'theleoterrell', 'big', 'lie', 'democrats', 'claim', 'trump', 'supporters', 'white', 'extremists', 'truth', '75', 'million', 'trump', 'supporters', 'represen', 'rt', 'brianglenntv', 'beautiful', 'moment', 'president', 'trump', 'thanks', 'family', 'all', 'their', 'support', 'flotus', 'expresses', 'love', 'th', 'rt', 'scottbaio', 'laying', 'foundation', '25th', 'amendment', 'msm', 'focusing', 'poor', 'joe', 'nothing', 'different', 'msm', 'start', 'spin', 'an', 'rt', 'gazcon', 'hydroxychloroquine', '70', 'year', 'track', 'record', 'safety', 'deemed', 'dangerous', 'but', 'an', 'experimental', 'rna', 'vaccine', 'cooked', 'rt', 'matthew_4_trump', 'rights', 'come', 'god', 'government', 'rt', 'rising_serpent', 'remember', 'democrats', 'challenged', 'every', 'one', 'trump', 'executive', 'orders', 'court', 's', 'republican', 'party', 'rt', 'dineshdsouza', 'there', 'way', 'cancel', 'cancel', 'culture', 'do', 'teach', 'companies', 'cancel', 'guys', 'like', 'mike', 'lindell', 'my', 'pillow', 'le', 'rt', 'morpheus2021', 'msavaarmstrong', 'stevepieczenik', 'https', 'co', '0tfh89lata', 'rt', 'malcolmoutloud', 'biden', 'eliminates', '1776', 'commission', 'teaching', 'american', 'history', 'w', 'carolmswain', 'keep', 'america', 'laughing', 'the', 'left', 'politic', 'https', 'co', 'fzqmkbvvpz', 'friendly', 'reminder', 'congress', 'know', '85', 'million', 'trump', 'supporters', 'did', 'have', 'a', 'fair', 'election', 'just', 'lost', 'representative', 'republic', 'biden', 'really', 'president', 'the', 'kenyan', 'you', 'know', 'm', 'right', 'few', 'republicans', 'stood', 'president', 'trump', 'm', 'longer', 'a', 'republican', 'will', 'independent', 'm', 'tired', 'of', 'republicans', 'name', 'https', 't', 'co', 'r7oivv2y2h', 'done', 'trump', 'they', 're', 'coming', 'you', 'and', 'me', 'make', 'mistake']
823238304183283712;['rt', 'eetee09', 'sidneyforvp2024', 'rt', 'saundersm3901', 'daveschreiber3', 'epochtimes', 'absolutely', 'rt', 'ryanafournier', 'noticed', 'democrat', 'cities', 'lifting', 'lockdowns', 'allowing', 'indoor', 'dining', 'a', 'days', 'biden', 'rt', 'biglance111', 'joe', 'biden', 'ill', 'pro', 'union', 'https', 'co', 'p0plqpcx1h', 'rt', 'sheilaclark122', 'let', 'whole', 'world', 'crumble', 'around', 'head', 'you', 'brought', 'molten', 'ash', 'man', 'our', 'lives', 'we', 'a', 'golden', 'era', 'p', 'rt', 'greghousehold1', 'daveschreiber3', 'joebiden', 'westjournalism', 'serves', 'right', 'rt', 'daveschreiber3', 'buyers', 'remorse', 'joebiden', 'already', 'worst', 'president', 'illegitimate', 'well', 'ever', 'unions', 'endorsed', 'biden', 'lash', 'buyers', 'remorse', 'joebiden', 'already', 'worst', 'president', 'illegitimate', 'well', 'ever', 'unions', 'endorsed', 'biden', 'la', 'https', 'co', 'ltpwqppnma', 'rt', 'darkgamergirl6', 'stillfunny', 'https', 'co', 'ujaqhq4mnd', 'rt', 'sebgorka', 'blackmail', 'joebiden', 'rudygiuliani', 'https', 'co', 'gpc21nthxh', 'https', 'co', 'stt6ho4hnc', 'perspicaciousxy', 'impeachbidennow', 'https', 'co', 'ssvqhmcw3l', 'rt', 'perspicaciousxy', 'msm', 'knowingly', 'purposely', 'report', 'antifa', 'still', 'burning', 'portland', 'seattle', 'sick', 'susanstjames3_', 'impeachbidennow', 'https', 'co', 'dzhxrpsuqm', 'rt', 'susanstjames3_', 'trump', 'capped', 'cost', 'insulin', 'no', 'than', '35', 'per', 'month', 'now', 'it', 'going', 'skyrocket', '10', 'x', 'because', 'biden', 'saracarterdc', 'https', 'co', 'vefz3papkz', 'rt', 'saracarterdc', 'awful', 'biden', 'admin', 'working', 'double', 'time', 'ensure', 'they', 'reverse', 'every', 'good', 'policy', 'americans', 'gained', 'trump', 'kosunbound', 'savingrace_2', 'https', 't', 'co', 'aogpupxw3h', 'rt', 'kosunbound', 'of', 'midnight', 'tonight', 'stop', 'all', 'removals', 'email', 'reads', 'this', 'includes', 'mexican', 'bus', 'runs', 'charter', 'flights', 'commerci', 'vtbirkenstock', 'joebiden', 'https', 't', 'co', 'hfhbdz0rqk', 'rt', 'brandonstraka', 'donald', 'trump', 'about', '88', 'million', 'followers', 'received', '74', '5', 'million', 'votes', 'joe', 'biden', '26', '2m', 'followers', 'receive']
1214687241961791489;['rt', 'illmortaldeity', 'kjdtypes', 'karlespo', 'michaeljfell', 'lol', 'rt', 'ignorantego', 'do', 'feel', 'democrats', 'bring', 'dignity', 'honor', 'amp', 'right', 'thing', 'sensanders', 'youre', 'mother', 'obviously', 'know', 'bernard', 'otherwise', 'surely', 'would', 'aborted', 'hideo', 'https', 'co', 'cguozepbwm', 'rt', 'mfggabe', 'someone', 'fact', 'check', 'please', 'sarcasm', 'https', 'co', 'ip7j5ji1i4', 'rt', 'gop', 'yesterday', 'ivankatrump', 'amp', 'attorney', 'general', 'william', 'barr', 'visited', 'atlanta', 'highlight', 'realdonaldtrump', 'administration', 'work', 'rt', 'luna_paris', 'seattle', 'resident', '4', 'years', 'ago', 'laughed', 'trump', 'he', 'supports', 'trump', 'due', 'all', 'the', 'rioting', 'defunding', 'the', 'police', 'made', 'rt', 'therealnotjonas', 'alyssa_milano', 'exact', 'quote', 'optimism', 'liberals', 'https', 'co', 'ybcchvjbeo', 'rt', 'nra', 'joe', 'biden', 'wins', 'mike', 'bloomberg', 'wins', 'beto', 'rourke', 'knocking', 'your', 'door', 'your', 'ar', '15', 'rt', 'medreggy', 'michaeljfell', 'karlespo', 'pleases', 'bring', 'rt', 'tastykar', 'michaeljfell', 'nothing', 'weren', 'planning', 'on', 'doing', 'anyway', 'filltheseat', 'rt', 'michaeljfell', 'report', 'dems', 'considering', 'total', 'war', 'gop', 'fills', 'supreme', 'court', 'seat', 'want', 'major', 'changes', 'new', 'states', 'https', 't', 'co', 'ngbzw', 'rt', 'ebeato', 'timetravlnqte', 'karlespo', 'attractive', 'mother', 'must', 'be', 'proud']
717363629847396352;['rt', 'lareginanyfl', 'encourage', 'americans', 'believe', 'america', 'want', 'support', 'america', 'first', 'stop', 'shopping', 'bedbathbeyond', 'amp', 'stxvbz', 'hopecircuit', 'love', 'following', 'patriots', 'lindamu9', 'https', 'co', 'gg4hm3nftj', 'stxvbz', 'love', 'following', 'patriots', 'lindamu9', 'https', 'co', '8lv6hopljz', 'rt', 'jordansview1', 'biden', 'talk', 'he', 'wants', 'unity', 'long', 'he', 'amp', 'dems', 'persist', 'pursuing', 'another', 'groundless', 'impeachment', 'la', 'rt', 'abd130usa22nq', 'starkrob21', 'rodhillis3', 'rick_cav', '4mimi2011', 'digi11111', 'abd130usa22nq', 'wzh58hfgl2mvsv1', 'realwolf72', 'fkurfeel', 'abd130usa22nq', 'starkrob21', 'rodhillis3', 'rick_cav', '4mimi2011', 'digi11111', 'wzh58hfgl2mvsv1', 'realwolf72', 'fkurfeeling', 'https', 'co', 'ckpjbmu4oo', 'stxvbz', 'jstoobzz', 'love', 'following', 'patriots', 'lindamu9', 'https', 'co', 'nr4bify74j', 'rodhillis3', 'rod', 'can', 'win', 'people', 'matter', 'anymore', 'voter', 'fraud', 'needs', 'be', 'fix', 'rt', 'rodhillis3', 'man', 'hears', 'trump', 'running', '2o24', 'https', 'co', 'wt123doicq', 'rt', 'jordansview1', 'patriots', 'friends', 'america', 'an', 'imperfect', 'nation', 'yet', 'have', 'taken', 'great', 'pains', 'amp', 'made', 'great', 'progress', 'correct', 'rt', 'jordansview1', 'no', 'nation', 'america', 'ever', 'dared', 'state', 'truths', 'the', 'formal', 'basis', 'politics', 'amp', 'none', 'strived', 'hard', 'rt', 'jordansview1', 'joe', 'biden', 'the', 'left', 'suggest', 'not', 'is', 'trump', 'secretly', 'white', 'supremacist', 'racist', 'millions', 'su', 'rt', 'jordansview1', 'neither', 'america', 'nation', 'perfectly', 'lived', 'the', 'universal', 'truths', 'equality', 'liberty', 'justice', 'amp', 'rt', 'jordansview1', 'to', 'institute', 'new', 'government', 'laying', 'foundation', 'such', 'principles', 'organizing', 'its', 'powers', 'such', 'form', 'rt', 'jordansview1', 'governments', 'instituted', 'among', 'men', 'deriving', 'just', 'powers', 'the', 'consent', 'the', 'governed', 'whenever', 'any', 'rt', 'jordansview1', 'hold', 'truths', 'to', 'be', 'self', 'evident', 'all', 'men', 'created', 'equal', 'that', 'they', 'endowed', 'their', 'creator', 'cer', 'rt', 'solidredpeon', 'senate', 'confirms', 'avril', 'haines', 'director', 'national', 'intelligence', 'https', 't', 'co', '9hrorpybka', '84', '10', 'told', 'the', 'gop', 'sp']
1197209917972762625;['rt', 'nyota_nuru', 'jcjax13', 'reportsdanews', 'rt', 'reportsdanews', 'breaking', 'news', 'chuck', 'schumer', 'senate', 'floor', 'donald', 'john', 'trump', 'incited', 'erection', 'insurrection', 'un', 'rt', 'maxinef37355979', 'https', 'co', 'guagsgpze8', 'rt', 'insidereporter1', 'https', 'co', 'ttpk5v1t0c', 'rt', 'logic_triumphs', 'same', 'people', 'complaining', 'joe', 'biden', '10', '000', 'watch', 'never', 'said', 'a', 'word', 'trump', 'owing', 'own', 'airp', 'rt', 'donlew87', 'heart', 'a', 'lion', 'clip', 'apparently', 'peaceful', 'protestors', 'set', 'upon', 'moscow', 'the', 'one', 'protestor', 'pulls', 'back', 'rt', 'sirrk', 'try', 'real', 'hard', 'lol', 'https', 'co', 'xezv4lhiom', 'katibug817', 'rt', 'katibug817', 'reportsdanews', 're', 'right', 'adam', 'thank', 'thinking', 'me', 'rt', 'kcb1926', 'kcb1926', 'god', 'bless', 'justin', 'https', 'co', 'jqopqxttla', 'katibug817', 'missed', 'the', 'press', 'conference', 'di', 'knew', 'd', 'like', 'rt', 'katibug817', 'reportsdanews', 'rt', 'shultoncity56', 'berniememe', 'https', 'co', 'kdkbmgbnli', 'rt', 'reportsdanews', 'breaking', 'news', 'chuck', 'schumer', 'calls', 'for', 'doj', 'inspector', 'general', 'investigate', 'ny', 'times', 'report', 'trump', 'plan', 'replace', 'ag', 'rt', 'jcjax13', 'reportsdanews', 'the', 'funniest', 'bernie', 've', 'seen', 'rt', 'reportsdanews', 'bernie', 'crashing', 'trudeau', 'press', 'conference', 'canadian', 'humour', 'nicely', 'done', 'https', 'co', 'pwjazctres', 'bernie', 'crashing', 'trudeau', 's', 'press', 'conference', 'canadian', 'humour', 'nicely', 'done', 'https', 'co', 'pwjazctres', 'rt', 'flotus', 'is', 'important', 'step', 'supporting', 'veterans', 'their', 'families', 'https', 'co', 'sywi4ymxey', 'that', 'include', 'mommy', 'https', 'co', 't7wgaixile', 'peterbakernyt', 'orange_parrot19', 'maggienyt', 'course']
