Token,Frequency,Synonyms
trump,454,"['trump', 'bully', 'bleeding', 'state', 'minister', 'chairman', 'prexy', 'gov', 'primary', 'outflank', 'election', 'checks', 'heart', 'donald', 'politic', 'nominee', 'chair', 'president', 'chairperson', 'Chief_Executive', 'President_of_the_United_States', 'poll', 'platform', 'delegate', 'United_States_President', 'coattail', 'caucus', 'pulpit', 'majority', 'government', 'house', 'party', 'prim', 'senator', 'balance', 'bipartisan', 'campaign', 'vote', 'silent', 'white']"
biden,374,"['biden', 'white', 'pulpit', 'state', 'heart', 'checks', 'bleeding', 'gov', 'party', 'United_States_President', 'chairperson', 'caucus', 'joe', 'platform', 'primary', 'minister', 'politic', 'balance', 'poll', 'prim', 'nominee', 'prexy', 'campaign', 'coattail', 'chairman', 'election', 'majority', 'government', 'Chief_Executive', ""President_of_the_United_States',  'president"", 'bipartisan', 'senator', 'chair', 'house', 'delegate', 'silent', 'vote', 'bully']"
president,229,"['president', 'chairperson', 'President_of_the_United_States', 'chairwoman', 'United_States_President', 'chair', 'prexy', 'Chief_Executive', 'President', 'chairman']"
people,192,"['people', 'the_great_unwashed', 'multitude', 'hoi_polloi', 'mass', 'masses', 'citizenry']"
like,157,"['like', 'alike', 'the_likes_of', 'similar', 'comparable', 'care', 'ilk', 'corresponding', 'wish', 'same', 'the_like']"
BONG,146,"['BONG', 'bong']"
know,135,"['know', 'have_it_off', 'recognise', 'cognise', 'have_sex', 'have_a_go_at_it', 'make_love', 'hump', 'eff', 'recognize', 'sleep_together', 'have_it_away', 'do_it', 'jazz', 'cognize', 'screw', 'bed', 'sleep_with', 'love', 'roll_in_the_hay', 'acknowledge', 'make_out', 'bang', 'experience', 'fuck', 'bonk', 'lie_with', 'get_laid', 'be_intimate', 'have_intercourse', 'live', 'get_it_on']"
time,128,"['time', 'fourth_dimension', 'metre', 'meter', 'prison_term', 'clock', 'clip', 'sentence', 'clock_time']"
need,104,"['need', 'postulate', 'necessitate', 'motivation', 'demand', 'penury', 'pauperism', 'indigence', 'take', 'ask', 'involve', 'pauperization', 'require', 'call_for', 'want', 'motive']"
today,103,"['today', 'now', 'nowadays']"
right,99,"['right', 'hilary', 'empower', 'in_good_order', 'compensate', 'ripe', 'femin', 'deb', 'right_hand', 'benevolent', 'sex', 'good', 'senate', 'misogyny', 'catherine', 'patriarchy', 'flop', 'correctly', 'leader', 'power', 'right_field', 'gender', 'powerful', 'sexism', 'rachel', 'harris', 'equal', 'history', 'women', 'veracious', 'revolution', 'kamala', 'victim', 'rectify', 'mighty', 'the_right_way', 'clinton', 'redress', 'feminist', 'aright', 'right-hand', 'right_on', 'rightfield', 'right', 'congress', 'proper', 'inferiority', 'girl', 'elizabeth', 'halaand', 'properly', 'correct', 'mightily', 'levine', 'decently', 'rightfulness', 'justly', 'decent', 'cortez', 'misandry', 'hostile', 'right_wing']"
american,94,"['american', 'American', 'American_language', 'American_English']"
would,94,"['would', 'wish', 'require', 'want', 'could']"
year,93,"['year', 'yr', 'twelvemonth', 'class']"
america,92,"['america', 'USA', 'US', 'America', 'U.S.', 'United_States_of_America', 'U.S.A.', 'United_States', 'the_States']"
want,91,"['want', 'require', 'deficiency', 'lack', 'wishing', 'neediness', 'privation', 'need', 'wish', 'deprivation', 'desire']"
love,89,"['love', 'love_life', 'make_love', 'hump', 'lovemaking', 'eff', 'passion', 'do_it', 'have_a_go_at_it', 'have_it_away', 'roll_in_the_hay', 'get_it_on', 'have_sex', 'be_intimate', 'make_out', 'fuck', 'lie_with', 'bang', 'enjoy', 'bed', 'sleep_together', 'have_it_off', 'jazz', 'sexual_love', 'screw', 'beloved', 'erotic_love', 'have_intercourse', 'dear', 'sleep_with', 'making_love', 'dearest', 'know', 'get_laid', 'honey', 'bonk']"
back,88,"['back', 'stake', 'hind', 'rearwards', 'backward', 'second', 'backwards', 'bet_on', 'binding', 'game', 'support', 'rear', 'spine', 'book_binding', 'backbone', 'hinder', 'gage', 'endorse', 'back_up', 'rachis', 'rearward', 'spinal_column', 'plunk_for', 'vertebral_column', 'cover', 'indorse', 'backrest', 'dorsum', 'plump_for', 'punt']"
make,85,"['make', 'relieve_oneself', 'brand', 'reach', 'realize', 'ca-ca', 'have', 'fix', 'take', 'pass_water', 'clear', 'shuffling', 'ready', 'construct', 'produce', 'realise', 'give', 'urinate', 'pee-pee', 'cause', 'stimulate', 'bring_in', 'attain', 'make_water', 'hold', 'seduce', 'gain', 'pull_in', 'micturate', 'name', 'form', 'build', 'wee-wee', 'wee', 'prepare', 'piddle', 'make_up', 'pee', 'shit', 'establish', 'hit', 'take_in', 'constitute', 'make_believe', 'draw', 'arrive_at', 'take_a_shit', 'cook', 'puddle', 'take_a_crap', 'piss', 'get', 'progress_to', 'lay_down', 'pretend', 'get_to', 'earn', 'throw', 'nominate', 'shuffle', 'spend_a_penny', 'score', 'stool', 'create', 'take_a_leak', 'do', 'defecate', 'induce', 'crap', 'work']"
think,83,"['think', 'retrieve', 'mean', 'consider', 'opine', 'guess', 'recollect', 'suppose', 'conceive', 'imagine', 'call_up', 'remember', 'reckon', 'recall', 'believe', 'cerebrate', 'cogitate', 'intend', 'call_back']"
republican,82,"['republican', 'Republican', 'Republican_River']"
good,81,"['good', 'salutary', 'undecomposed', 'dear', 'commodity', 'just', 'safe', 'skillful', 'sound', 'in_effect', 'trade_good', 'secure', 'beneficial', 'near', 'skilful', 'ripe', 'thoroughly', 'serious', 'estimable', 'unspoilt', 'in_force', 'soundly', 'upright', 'effective', 'right', 'adept', 'unspoiled', 'practiced', 'respectable', 'dependable', 'expert', 'full', 'honest', 'honorable', 'proficient', 'well', 'goodness']"
state,78,"['state', 'express', 'posit', 'State', 'country', 'land', 'put_forward', 'province', 'nation', 'res_publica', 'United_States_Department_of_State', 'DoS', 'State_Department', 'Department_of_State', 'tell', 'state_of_matter', 'commonwealth', 'submit', 'say', 'body_politic']"
never,78,"['never', 'impossible', 'forbidden', 'ever']"
onedirection,78,"['onedirection', 'United_States_President', 'democracy', 'president', 'chairperson', 'chairman', 'oneway', 'chair', 'President', 'President_of_the_United_States', 'chairwoman', 'Chief_Executive', 'prexy']"
election,74,"['election', 'chairman', 'chairperson', 'President_of_the_United_States', 'president', 'Chief_Executive', 'chair', 'prexy', 'United_States_President']"
first,73,"['first', 'beginning', 'first_off', 'outset', 'offset', 'number_1', 'number_one', 'commencement', 'first_base', 'first_gear', 'first-class_honours_degree', 'maiden', '1st', 'starting_time', 'initiative', 'low_gear', 'showtime', 'inaugural', 'low', 'firstly', 'first_of_all', 'foremost', 'start', 'initiatory', 'for_the_first_time', 'world-class', 'kickoff', 'get-go']"
vote,72,"['vote', 'suffrage', 'right_to_vote', 'ballot', 'voter_turnout', 'balloting', 'voting']"
Valerio_Scanu,72,['Valerio_Scanu']
thing,70,"['thing', 'affair', 'matter']"
take,70,"['take', 'fill', 'ask', 'accept', 'take_up', 'aim', 'contain', 'take_on', 'learn', 'bring', 'pick_out', 'take_in', 'shoot', 'acquire', 'get_hold_of', 'ingest', 'need', 'consider', 'issue', 'consume', 'assume', 'subscribe', 'occupy', 'contract', 'claim', 'lead', 'direct', 'strike', 'film', 'deal', 'use_up', 'hold', 'engage', 'guide', 'subscribe_to', 'demand', 'admit', 'yield', 'hire', 'submit', 'make', 'adopt', 'exact', 'withdraw', 'choose', 'have', 'remove', 'conduct', 'necessitate', 'lease', 'charter', 'take_aim', 'select', 'drive', 'postulate', 'read', 'pack', 'train', 'look_at', 'study', 'take_away', 'payoff', 'carry', 'involve', 'call_for', 'takings', 'proceeds', 'require', 'rent', 'return', 'convey', 'get']"
last,69,"['last', 'hold_out', 'utmost', 'death', 'finish', 'survive\', ""shoemaker\'s_last"", \'last-place', 'lastly', 'hold_up', 'terminal', 'live_on', 'conclusion', 'finally\', ""cobbler\'s_last"", \'go', 'finis', 'finale', 'final', 'concluding', 'stopping_point', 'endure', 'lowest', 'live', 'net', 'end', 'final_stage', 'in_conclusion', 'close']"
going,69,"['going', 'sledding', 'function', 'expiration', 'die', 'pass', 'work', 'belong', 'loss', 'run_low', 'extend', 'sound', 'fit', 'live', 'expire', 'snuff_it', 'give_way', 'go', 'conk', 'proceed', 'pop_off', 'become', 'kick_the_bucket', 'departure', 'passing', 'break', 'give-up_the_ghost', 'pass_away', 'endure', 'rifle', 'move', 'croak', 'get', 'live_on', 'perish', 'plump', 'break_down', 'hold_out', 'fail', 'go_away', 'decease', 'go_bad', 'conk_out', 'leaving', 'run', 'start', 'drop_dead', 'choke', 'travel', 'last', 'going_away', 'locomote', 'run_short', 'hold_up', 'buy_the_farm', 'release', 'lead', 'exit', 'give_out\', ""cash_in_one\'s_chips"", \'get_going', 'operate', 'blend_in', 'blend', 'depart', 'survive']"
party,68,"['party', 'political_party', 'company']"
democrat,68,"['democrat', 'Chief_Executive', 'United_States_President', 'President', 'chair', 'prexy', 'president', 'populist', 'Democrat', 'President_of_the_United_States', 'chairwoman', 'chairman', 'chairperson']"
left,67,"['left', 'entrust', 'pass_on', 'leave_alone', 'left_hand', 'left_over', 'leave_behind', 'leftover', 'pull_up_stakes', 'go_forth', 'depart', 'go_out', 'go_away', 'unexpended', 'remaining', 'allow_for', 'exit', 'result', 'impart', 'provide', 'left_field', 'will', 'allow', 'left_wing', 'leave', 'bequeath', 'get_out', 'lead', 'leftfield', 'forget', 'odd', 'give', 'left-hand']"
news,66,"['news', 'news_program', 'intelligence', 'newsworthiness', 'tidings', 'news_show', 'word']"
breaking,66,"['breaking', 'infract', 'go_against', 'erupt', 'give_away', 'violate', 'give_way', 'give', 'fracture', 'bankrupt', 'snap_off', 'interrupt', 'break_dance', 'break_out', 'break_up', 'damp', 'get_around', 'unwrap', 'collapse', 'wear_out', 'fall_apart', 'transgress', 'fail', 'cave_in', 'break', 'offend', 'burst', 'founder', 'check', 'come_apart', 'stop', 'breach', 'breakage', 'crack', 'bump', 'smash', 'discontinue', 'better', 'demote', 'intermit', 'bust', 'soften', 'break_away', 'disclose', 'let_out', 'bring_out', 'reveal', 'separate', 'split', 'ruin', 'break_off', 'conk_out', 'get_out', 'break-dance', 'dampen', 'let_on', 'part', 'kick_downstairs', 'go', 'weaken', 'discover', 'break_in', 'split_up', 'break_down', 'expose', 'divulge', 'die', 'pause', 'develop', 'fall_in', 'wear', 'relegate', 'recrudesce', 'go_bad', 'give_out']"
thank,65,"['thank', 'give_thanks']"
donald,65,"['donald', 'majority', 'pulpit', 'bleeding', 'chairman', 'coattail', 'politic', 'outflank', 'senator', 'prexy', 'checks', 'house', 'platform', 'nominee', 'minister', 'gov', 'prim', 'chairperson', 'party', 'chair', 'campaign', 'president', 'delegate', 'silent', 'white', 'heart', 'trump', 'Chief_Executive', 'poll', 'President_of_the_United_States', 'bully', 'primary', 'state', 'balance', 'election', 'caucus', 'vote', 'bipartisan', 'government', 'United_States_President']"
really,64,"['really', 'actually', 'rattling', 'truly', 'in_truth', 'genuinely', 'real', 'very']"
follower,64,"['follower', 'supporter', 'lover', 'fans']"
million,63,"['million', '1000000', 'billion', 'meg', 'gazillion', 'jillion', 'zillion', 'one_thousand_thousand', 'trillion']"
many,62,"['many', 'lots', 'much']"
help,61,"['help', 'supporter', 'help_oneself', 'assistant', 'assist', 'avail', 'helper', 'service', 'facilitate', 'aid', 'serve', 'assistance']"
house,60,"['house', 'put_up', 'star_sign', 'sign_of_the_zodiac', 'home', 'business_firm', 'firm', 'household', 'menage', 'family', 'sign', 'mansion', 'theatre', 'theater', 'planetary_house', 'domiciliate']"
look,60,"['look', 'spirit', 'take_care', 'calculate', 'search', 'appear', 'expression', 'wait', 'facial_expression', 'seem', 'looking', 'face', 'await', 'feel', 'see', 'flavor', 'front', 'bet', 'tone', 'smell', 'feeling', 'flavour', 'reckon', 'count', 'looking_at', 'expect', 'attend', 'depend', 'aspect']"
even,60,"['even', 'tied', 'eve', 'even_out', 'regular', 'fifty-fifty', 'yet', 'still', 'flush', 'evening', 'level', 'eventide']"
every,58,"['every', 'each']"
twitter,58,"['twitter', 'chirrup', 'chitter']"
jackposobiec,57,['jackposobiec']
great,57,"['great', 'majuscule', 'enceinte', 'slap-up', 'expectant', 'smashing', 'neat', 'keen', 'gravid', 'swell', 'with_child', 'outstanding', 'dandy', 'bully', 'big', 'heavy', 'peachy', 'corking', 'bang-up', 'not_bad', 'cracking', 'capital', 'nifty', 'groovy', 'large']"
please,56,"['please', 'delight']"
work,56,"['work', 'work_out', 'ferment', 'form', 'study', 'wreak', 'make', 'crop', 'make_for', 'lick', 'act', 'figure_out', 'act_upon', 'solve', 'play', 'workplace', 'do_work', 'go', 'turn', 'puzzle_out', 'bring', 'work_on', 'exercise', 'sour', 'exploit', 'put_to_work', 'oeuvre', 'influence', 'body_of_work', 'function', 'cultivate', 'knead', 'run', 'process', 'mould', 'operate', 'mold', 'forge', 'employment', 'piece_of_work', 'shape']"
lost,56,"['lost', 'turn_a_loss', 'lose', 'disoriented', 'deep_in_thought', 'baffled', 'missed', 'mixed-up', 'mazed', 'doomed', 'recede', 'fall_back', 'suffer', 'mislay', 'at_sea', 'misplace', 'drop_off', 'bemused', 'fall_behind', 'confounded', 'miss', 'confused', 'preoccupied', 'befuddled', 'bewildered', 'helpless']"
well,56,"['well', 'substantially', 'comfortably', 'considerably', 'swell', 'intimately', 'wellspring', 'good', 'fountainhead', 'easily', 'advantageously']"
watch,55,"['watch', 'sentry', 'lookout_man', 'watch_over', 'ascertain', 'find_out', 'ticker', 'see', 'catch', 'view', 'lookout', 'watch_out', 'scout', 'look_on', 'spotter', 'picket', 'look_out', 'check', 'follow', 'keep_an_eye_on', 'take_in', 'sentinel', 'determine', 'observe', 'learn', 'vigil']"
video,55,"['video', 'television', 'video_recording', 'picture', 'telecasting', 'TV']"
said,55,"['said', 'allege', 'read', 'enounce', 'sound_out', 'articulate', 'aforementioned', 'suppose', 'aver', 'state', 'enjoin', 'say', 'enunciate', 'aforesaid', 'tell', 'order', 'pronounce']"
joebiden,55,"['joebiden', ""joe' , 'joebiden"", 'United_States_President', 'chairman', 'majority', 'platform', 'gov', 'biden', 'prexy', 'politic', 'bipartisan', 'bully', 'state', 'election', 'silent', 'minister', 'government', 'delegate', 'balance', 'pulpit', 'prim', 'bleeding', 'vote', 'poll', ""President_of_the_United_States',  'president"", 'nominee', 'checks', 'heart', 'house', 'campaign', 'Chief_Executive', 'caucus', 'senator', 'party', 'primary', 'chairperson', 'coattail', 'chair', 'white']"
national,52,"['national', 'internal', 'home', 'interior', 'subject']"
covid,52,"['covid', 'incubation', 'ventilator', 'asymptomatic', 'pathogen', 'vaccin', 'isolation', 'quarantine', 'epidemic', 'presymptomatic', 'anti', 'distan', 'anti-body', 'condition', 'covid19', 'underlying', 'immunity', 'patient', 'n95', 'novel', 'herd', 'strain', '19', 'coronavirus', 'outbreak', 'body', 'spread', 'mask']"
medium,51,"['medium', 'intermediate', 'sensitive', 'mass_medium', 'metier', 'culture_medium', 'average', 'spiritualist']"
catturd2,50,['catturd2']
still,50,"['still', 'tranquillise', 'smooth', 'noneffervescent', 'static', 'stock-still', 'tranquillize', 'tranquil', 'ease', 'motionless', 'hush_up', 'calm', 'yet', 'calm_down', 'relieve', 'quieten', 'all_the_same', 'silence', 'soundless', 'notwithstanding', 'nonetheless', 'quiet', 'hush', 'tranquilize', 'distillery', 'inactive', 'however', 'unruffled', 'shut_up', 'even', 'silent', 'nevertheless', 'allay', 'placid', 'withal', 'lull', 'stillness', 'even_so']"
troop,50,"['troop', 'flock', 'promenade', 'scout_troop', 'scout_group', 'parade']"
must,48,"['must', 'moldiness', 'mustiness']"
keep,48,"['keep', 'continue', 'keep_back', 'observe', 'dungeon', 'bread_and_butter', 'retain', 'proceed', 'celebrate', 'save', 'preserve', 'maintain', 'livelihood', 'living', 'hold_on', 'donjon', 'hold_open', 'go_on', 'stay_fresh', 'hold', 'keep_open', 'keep_on', 'go_along', 'sustenance', 'restrain', 'support', 'sustain', 'prevent', 'hold_back']"
remember,47,"['remember', 'commend', 'commemorate', 'think_of', 'think_back', 'retrieve', 'call_up', 'think', 'recall', 'call_back', 'recollect']"
donaldjtrumpjr,47,"['donaldjtrumpjr', 'minister', 'trump', 'house', 'government', 'donald', 'campaign', 'balance', 'silent', 'state', 'caucus', 'prexy', 'election', 'bully', 'nominee', 'poll', 'chairperson', 'vote', 'party', 'checks', 'politic', 'white', 'chair', 'outflank', 'prim', 'delegate', 'platform', 'bipartisan', 'heart', 'majority', 'Chief_Executive', 'chairman', 'primary', 'United_States_President', 'senator', 'gov', 'pulpit', 'bleeding', 'president', 'coattail', 'President_of_the_United_States']"
hour,47,"['hour', 'minute', 'time_of_day', '60_minutes', 'hr']"
order,47,"['order', 'regulate', 'dictate', 'put', 'consecrate', 'rescript', 'say', 'lodge', 'monastic_order', 'guild', 'ordinate', 'edict', 'gild', 'social_club', 'Order', 'parliamentary_law', 'govern', 'decree', 'place', 'tell', 'rate', 'ordering', 'ordain', 'parliamentary_procedure', 'rules_of_order', 'Holy_Order', 'arrange', 'set_up', 'society', 'enjoin', 'fiat', 'prescribe', 'rank', 'regularise', 'grade', 'purchase_order', 'order_of_magnitude', 'orderliness', 'ordination', 'range', 'club', 'regularize']"
call,46,"['call', 'call_in', 'prognosticate', 'telephone', 'hollo', 'phone', 'birdsong', 'forebode', 'scream', 'outcry', 'address', 'holler', 'bid', 'song', 'margin_call', 'promise', 'yell', 'call_option', 'predict', 'anticipate', 'shout', 'visit', 'shout_out', 'claim', 'birdcall', 'ring', 'squall', 'name', 'vociferation', 'Call', 'telephone_call', 'call_up', 'call_off', 'foretell', 'cry', 'send_for', 'phone_call']"
patriot,46,"['patriot', 'nationalist']"
