Token,Hypernyms
trump,"['playing_card.n.01', 'suit.n.06', 'brass.n.02', 'sound.v.02', 'beat.v.01', 'move.v.15', 'announce.v.01']"
biden,
president,"['corporate_executive.n.01', 'head_of_state.n.01', 'head_of_state.n.01', 'presiding_officer.n.01', 'academic_administrator.n.01', 'presidency.n.02']"
people,"['group.n.01', 'group.n.01', 'family.n.04', 'group.n.01', 'populate.v.02', 'populate.v.01']"
like,"['kind.n.01', 'kind.n.01', 'desire.v.01', 'see.v.05', 'desire.v.01']"
BONG,"['sound.n.04', 'resound.v.01']"
know,"['knowing.n.01', 'experience.v.01', 'accept.v.01', 'copulate.v.01', 'recognize.v.02', 'distinguish.v.01', 'remember.v.01']"
time,"['case.n.01', 'time_period.n.01', 'time_period.n.01', 'moment.n.01', 'attribute.n.02', 'experience.n.03', 'reading.n.03', 'dimension.n.01', 'rhythmicity.n.01', 'term.n.02', 'quantify.v.02', 'schedule.v.01', 'determine.v.02', 'adjust.v.01', 'adjust.v.01']"
need,"['condition.n.01', 'necessity.n.02', 'psychological_feature.n.01', 'poverty.n.01', 'be.v.01']"
today,"['present.n.01', 'day.n.01']"
right,"['abstraction.n.01', 'position.n.01', 'tract.n.01', 'faction.n.02', 'hand.n.01', 'turn.n.02', 'justice.n.01', 'interest.n.05', 'change.v.01', 'change.v.01', 'change_posture.v.01', 'change_by_reversal.v.01']"
american,"['inhabitant.n.01', 'english.n.01', 'inhabitant.n.01']"
would,
year,"['time_period.n.01', 'time_period.n.01', 'time_period.n.01', 'gathering.n.01']"
america,[]
want,"['poverty.n.01', 'need.n.01', 'necessity.n.02', 'desire.n.01', 'be.v.01', 'search.v.01', 'demand.v.01', 'miss.v.06']"
love,"['emotion.n.01', 'object.n.04', 'lover.n.01', 'sexual_desire.n.01', 'score.n.03', 'sexual_activity.n.01', 'like.v.02', 'love.v.01', 'copulate.v.01']"
back,"['body_part.n.01', 'side.n.05', 'position.n.01', 'football_player.n.01', 'skeletal_structure.n.01', 'protective_covering.n.01', 'cloth_covering.n.01', 'support.n.10', 'position.n.09', 'approve.v.01', 'travel.v.01', 'support.v.01', 'finance.v.01', 'lie.v.01', 'bet.v.02', 'switch.v.04', 'confirm.v.01', 'strengthen.v.02']"
make,"['kind.n.01', 'reordering.n.01', 'change.v.01', 'make.v.03', 'create_by_mental_act.v.01', 'cause.v.01', 'make.v.03', 'get.v.01', 'create.v.05', 'constitute.v.01', 'achieve.v.01', 'become.v.03', 'create_from_raw_material.v.01', 'perform.v.01', 'make.v.03', 'change.v.01', 'act.v.02', 'appoint.v.02', 'score.v.01', 'make.v.03', 'perpetrate.v.01', 'assemble.v.03', 'direct.v.04', 'tidy.v.01', 'head.v.01', 'excrete.v.01', 'change.v.02', 'be.v.01', 'total.v.01', 'amount.v.01', 'constitute.v.01', 'look.v.02', 'pass.v.01', 'reach.v.01', 'create_from_raw_material.v.01', 'create_from_raw_material.v.01', 'persuade.v.02', 'guarantee.v.02', 'act.v.03', 'see.v.05', 'estimate.v.01', 'change.v.01', 'develop.v.13', 'develop.v.14', 'act.v.02', 'excrete.v.01']"
think,"['deliberation.n.02', 'evaluate.v.02', 'expect.v.01', 'imagine.v.01', 'concentrate.v.02', 'think.v.03', 'think.v.03', 'think.v.01', 'think.v.03', 'change.v.01']"
republican,"['politician.n.02', 'advocate.n.01']"
